4|4 Area|POINT M (140.485364069 -36.1723984349999 142.22)
4|4 Area|POINT M (139.372142046 -32.700260204 173.18)
4|4 Area|POINT M (138.745354671 -34.17691524 373.65)
4|Service Centre|POINT M (138.067343627 -33.1600504539999 86.4)
4|4 Area|POINT M (140.792915205 -37.102169079 126.23)
4|4 Area|POINT M (139.372817136 -35.587549958 38.84)
4|4 Area|POINT M (140.390214542 -37.632488489 307.13)
4|4 Area|POINT M (138.644189193 -31.5177837099999 59.29)
4|4 Area|POINT M (136.407377224 -31.233928235 716.36)
4|4 Area|POINT M (133.201146212 -26.342111701 38.46)
4|4 Area|POINT M (133.277457259 -26.6364098349999 73.05)
4|4 Area|POINT M (133.380232949 -26.897221014 104.82)
4|4 Area|POINT M (133.396343592 -26.972513282 114.08)
4|4 Area|POINT M (133.62256747 -27.305623409 158.23)
4|4 Area|POINT M (134.255630662 -28.555575248 315.89)
4|4 Area|POINT M (134.444393428 -28.6871709119999 340.34)
4|4 Area|POINT M (134.805397223 -29.05033979 396.8)
4|4 Area|POINT M (134.986343354 -29.3501417799999 436.85)
4|4 Area|POINT M (135.153856858 -29.915012614 505.05)
4|4 Area|POINT M (135.194838263 -30.0278927009999 518.27)
4|4 Area|POINT M (135.328042103 -30.3559125529999 558.7)
4|4 Area|POINT M (135.566613522 -30.838423523 615.58)
4|Service Centre|POINT M (136.803201981 -31.2585179939999 756)
4|4 Area|POINT M (137.288669258 -31.773398282 834.1)
4|4 Area|POINT M (137.445163986 -32.033937653 866.66)
4|4 Area|POINT M (137.546259587 -32.242384613 893.41)
4|4 Area|POINT M (137.753022101 -32.4802394769999 927.09)
4|4 Area|POINT M (129.002732692 -31.638089259 0.1)
4|4 Area|POINT M (129.019878594 -31.633585007 1.97)
4|4 Area|POINT M (129.331798191 -31.637173214 32.93)
4|4 Area|POINT M (129.427368081 -31.6324494049999 42)
4|4 Area|POINT M (129.452668141 -31.6289223099999 44.42)
4|4 Area|POINT M (129.791164198 -31.596798747 76.77)
4|4 Area|POINT M (129.834116002 -31.588044286 80.94)
4|4 Area|POINT M (130.147120596 -31.573561818 111)
4|4 Area|POINT M (130.232773169 -31.5648095559999 119.26)
4|4 Area|POINT M (130.385712401 -31.575344849 133.95)
4|4 Area|POINT M (130.387253716 -31.575071233 134.1)
4|4 Area|POINT M (130.593203142 -31.551922411 154)
4|4 Area|POINT M (130.741854556 -31.521153559 168.68)
4|4 Area|POINT M (131.057255164 -31.40122034 201.92)
4|4 Area|POINT M (131.312409648 -31.3615982539999 226.96)
4|4 Area|POINT M (131.46798802 -31.374834313 242.03)
4|4 Area|POINT M (131.613160832 -31.410013512 256.49)
4|4 Area|POINT M (131.813973415 -31.496882495 278)
4|4 Area|POINT M (132.313952991 -31.826762064 340.48)
4|4 Area|POINT M (132.59383953 -31.837180377 367.21)
4|4 Area|POINT M (132.862104775 -31.861021281 393.8)
4|4 Area|POINT M (133.011162005 -31.928523254 410)
4|4 Area|POINT M (133.275916986 -31.940922105 435.43)
4|4 Area|POINT M (133.876013592 -32.1436795499999 501.92)
4|4 Area|POINT M (134.253179897 -32.30502258 544.05)
4|4 Area|POINT M (134.53577892 -32.409483085 576)
4|4 Area|POINT M (134.617690477 -32.471342546 586.42)
4|4 Area|POINT M (134.837108984 -32.721850887 621.8)
4|4 Area|POINT M (134.849619376 -32.7238208369999 623)
4|4 Area|POINT M (135.464825299 -33.0529701259999 693.66)
4|4 Area|POINT M (135.469842425 -33.0575635759999 694.35)
4|4 Area|POINT M (135.572422526 -33.1374956769999 708)
4|4 Area|POINT M (135.75591628 -33.1475328989999 725.84)
4|4 Area|POINT M (136.00020889 -33.196659269 750.5)
4|4 Area|POINT M (136.109258048 -33.2072948799999 761)
4|4 Area|POINT M (136.435974476 -33.124888745 798.02)
4|4 Area|POINT M (137.156023273 -32.718917115 884)
4|4 Area|POINT M (137.737991416 -32.483029492 948.23)
4|4 Area|POINT M (133.734741353 -32.1268055639999 0)
4|4 Area|POINT M (133.989880062 -32.390161275 38.4)
4|4 Area|POINT M (134.222657227 -32.804617965 105)
4|4 Area|POINT M (134.455032262 -32.9325465919999 131.43)
4|4 Area|POINT M (134.692616681 -33.170252449 166.48)
4|4 Area|POINT M (134.885324013 -33.337470684 193.6)
4|4 Area|POINT M (135.100819047 -33.758687939 253.69)
4|4 Area|POINT M (135.101332014 -33.7594110909999 253.78)
4|4 Area|POINT M (135.263652412 -33.9109050289999 278.44)
4|4 Area|POINT M (135.359260858 -34.114162253 304.34)
4|4 Area|POINT M (135.470723741 -34.5115602349999 351.14)
4|4 Area|POINT M (134.673106787 -32.75460555 37.68)
4|4 Area|POINT M (135.71305554 -33.780511421 80.93)
4|4 Area|POINT M (137.509276761 -32.724419949 13.91)
4|4 Area|POINT M (137.566159328 -32.915435525 36.1)
4|4 Area|POINT M (137.561019458 -33.0403355079999 50.8)
4|4 Area|POINT M (137.273604603 -33.1714483009999 83.38)
4|4 Area|POINT M (137.20070628 -33.267340955 97.3)
4|4 Area|POINT M (137.017571439 -33.543556926 137.1)
4|4 Area|POINT M (136.922816473 -33.6796359049999 155)
4|4 Area|POINT M (136.753021314 -33.784446094 176.7)
4|4 Area|POINT M (136.417045321 -34.0082192359999 217.37)
4|4 Area|POINT M (136.327636426 -34.103875009 231.28)
4|4 Area|POINT M (136.070190365 -34.371700591 270)
4|4 Area|POINT M (135.854979421 -34.6867806139999 312.44)
4|4 Area|POINT M (135.854789119 -34.6942748879999 313.28)
4|4 Area|POINT M (135.853569679 -34.710580598 315.12)
4|4 Area|POINT M (136.568167308 -33.899721885 24.41)
4|4 Area|POINT M (138.443853537 -33.568525569 136.53)
4|4 Area|POINT M (138.7608074 -34.26527444 230.03)
4|4 Area|POINT M (138.762497926 -34.2680359669999 230.38)
4|4 Area|POINT M (138.411897362 -32.7048945089999 28.91)
4|4 Area|POINT M (138.138059835 -32.969024379 15.24)
4|4 Area|POINT M (138.617644679 -33.056383458 27.99)
4|4 Area|POINT M (140.583984461 -32.1860149889999 41.97)
4|4 Area|POINT M (140.327113629 -32.2816486259999 69.2)
4|4 Area|POINT M (140.094688713 -32.39734562 95.41)
4|4 Area|POINT M (139.56959312 -32.5778912499999 150)
4|4 Area|POINT M (139.307433014 -32.755751979 182.43)
4|4 Area|POINT M (139.064188488 -32.881367978 211)
4|4 Area|POINT M (138.986382307 -32.9508200409999 221.89)
4|4 Area|POINT M (138.881518821 -33.23086202 255.4)
4|4 Area|POINT M (138.838965283 -33.754730883 322.39)
4|4 Area|POINT M (138.774398765 -34.09763509 363.93)
4|4 Area|POINT M (133.18834814 -26.2787182819999 31.22)
4|4 Area|POINT M (137.911961052 -32.621572359 22.5)
4|4 Area|POINT M (137.981700246 -32.843752825 48.6)
4|Information Bay|POINT M (138.068148804 -33.157462553 86.1)
4|4 Area|POINT M (138.170802731 -33.389948444 116.22)
4|Service Centre|POINT M (138.21650027 -33.5400938069999 134.93)
4|4 Area|POINT M (138.225154731 -33.612894695 143.12)
4|4 Area|POINT M (138.209790871 -33.746865762 158.33)
